书名,图片,评论数,推荐量,作者,出版社,售价,原价,折扣,电子书价格,详情页,more
针锋对决 超人气组合 #188男团# 水千丞经典商战作品――商界大佬顾总裁&暴躁萌新原助理,http://img3m1.ddimg.cn/54/32/29396421-1_l_4.jpg,2882.0,99.8%,水千丞,北京燕山出版社,¥30.10,¥54.80,5.5折,,http://product.dangdang.com/29396421.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""青春文学"", ""大陆原创青春文学""]]}"
极简学习法（考试高分的秘密，上百位清北学霸学习方法大公开）,http://img3m3.ddimg.cn/6/10/29389443-1_l_16.jpg,38929.0,100%,廖恒 著  时代华语 出品,北京联合出版有限公司,¥22.50,¥45.00,5.0折,¥35.99,http://product.dangdang.com/29389443.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""成功/励志"", ""智商/智谋"", ""学习力/记忆力""]]}"
草坪的复仇（村上春树的偶像，影响一代嬉皮士的重要作家，超短篇中文版）,http://img3m7.ddimg.cn/95/19/29347457-1_l_6.jpg,11648.0,100%,理查德・布劳提根 著，潘其扬 肖水 译，一��folio 出品,广西师范大学出版社,¥28.50,¥38.00,7.5折,,http://product.dangdang.com/29347457.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""小说"", ""外国小说"", ""其他国家""]]}"
能断金刚：超凡的经营智慧（《当和尚遇到钻石》十周年增订版）新版,http://img3m2.ddimg.cn/75/11/29303382-1_l_14.jpg,69225.0,99.9%,（美）麦克・罗奇 著  夏理扬 田多多等译，麦点出品,江西人民出版社,¥28.60,¥52.00,5.5折,,http://product.dangdang.com/29303382.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""管理"", ""一般管理学"", ""经营管理""]]}"
狂人日记：鲁迅小说全集无删减版！（了解觉醒年代，就读《狂人日记》）,http://img3m8.ddimg.cn/72/23/29263878-1_l_12.jpg,89321.0,100%,鲁迅,浙江教育出版社,¥21.00,¥42.00,5.0折,¥21.00,http://product.dangdang.com/29263878.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""小说"", ""社会小说""]]}"
如何阅读一本书,http://img3m5.ddimg.cn/1/11/29226385-1_l_7.jpg,286737.0,99.8%,[美]莫提默・J.艾德勒 查尔斯・范多伦 著  郝明义 朱衣  译,商务印书馆,¥31.60,¥50.00,6.3折,,http://product.dangdang.com/29226385.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""社会科学"", ""语言文字"", ""其他""]]}"
大英帝国3000年：全新视角评估英国历史，细述帝国的崛起与衰落。,http://img3m4.ddimg.cn/11/26/29220554-1_l_12.jpg,6650.0,99.9%,【英】杰里米・布莱克（JEREMY BLACK）著,中国友谊出版公司,¥26.10,¥58.00,4.5折,¥12.99,http://product.dangdang.com/29220554.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""历史"", ""世界史"", ""欧洲史""]]}"
洋葱头历险记--罗大里故事精选（注音彩绘版）,http://img3m2.ddimg.cn/8/10/29194712-1_l_2.jpg,110527.0,100%,贾尼・罗大里,中国少年儿童出版社,¥15.00,¥30.00,5.0折,,http://product.dangdang.com/29194712.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""童书"", ""外国儿童文学"", ""侦探/冒险小说""], [""图书"", ""童书"", ""7-10岁"", ""文学""], [""图书"", ""童书"", ""拼音读物""]]}"
转型中的地方政府：官员激励与治理(第二版),http://img3m6.ddimg.cn/39/12/29193456-1_l_6.jpg,4246.0,100%,周黎安,格致出版社,¥62.00,¥95.00,6.5折,,http://product.dangdang.com/29193456.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""经济"", ""中国经济"", ""中国经济概况""]]}"
从零开始做内容：爆款内容的底层逻辑,http://img3m1.ddimg.cn/54/2/29131101-1_l_9.jpg,39894.0,100%,吕白,机械工业出版社,¥34.90,¥69.80,5.0折,¥46.99,http://product.dangdang.com/29131101.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""管理"", ""市场/营销"", ""市场营销""]]}"
夜晚的潜水艇(第四届宝珀理想国文学奖得主陈春成短篇小说集，游荡于旧山河与未知宇宙间，汉语的一种风度与可能性),http://img3m4.ddimg.cn/69/2/29130324-1_l_18.jpg,120560.0,100%,陈春成 著，    理想国 出品,上海三联书店,¥33.40,¥52.00,6.4折,¥16.99,http://product.dangdang.com/29130324.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""小说"", ""中国当代小说""]]}"
傅雷家书:学生读本（八年级下！傅雷家人授权！非公版收录！附赠64P名师导读导练)团购电话:4001066666转6,http://img3m4.ddimg.cn/80/30/28512674-1_l_16.jpg,556616.0,100%,傅雷、朱梅馥、傅聪、傅敏著，傅敏 编,译林出版社,¥14.30,¥29.80,4.8折,,http://product.dangdang.com/28512674.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""中小学用书"", ""初中阅读"", ""语文阅读""]]}"
喝月亮的女孩・纽伯瑞金奖,http://img3m3.ddimg.cn/0/11/28472103-1_l_43.jpg,56142.0,100%,【美】凯莉・巴恩希尔 著   【美】舒杭丽 译,贵州人民出版社,¥19.90,¥39.80,5.0折,,http://product.dangdang.com/28472103.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""童书"", ""外国儿童文学"", ""成长/校园小说""], [""图书"", ""童书"", ""7-10岁"", ""文学""], [""图书"", ""童书"", ""开学必备""]]}"
悲喜自渡：季羡林的孤独智慧（诞辰111周年纪念版。TFboys王源认同的生活态度）,http://img3m6.ddimg.cn/98/21/27922256-1_l_35.jpg,76957.0,100%,季羡林 著 时代华语 出品,江苏凤凰文艺出版社,¥19.70,¥45.00,4.4折,,http://product.dangdang.com/27922256.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""文学"", ""中国现当代随笔""]]}"
向上管理：与你的领导相互成就,http://img3m3.ddimg.cn/93/36/27869583-1_l_11.jpg,125989.0,100%,萧雨，酷威文化 出品,江苏凤凰文艺出版社,¥19.90,¥39.80,5.0折,¥2.99,http://product.dangdang.com/27869583.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""管理"", ""一般管理学"", ""管理学""]]}"
棋王（阿城作品典藏2019新版）,http://img3m7.ddimg.cn/90/8/26924427-1_l_4.jpg,28187.0,100%,阿城 著，理想国 出品,上海三联书店,¥36.00,¥48.00,7.5折,¥23.00,http://product.dangdang.com/26924427.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""小说"", ""中国当代小说""]]}"
小巴掌童话 百年百部精选注音书,http://img3m6.ddimg.cn/76/31/25316356-1_l_3.jpg,21042.0,100%,张秋生,长江少年儿童出版社,¥11.00,¥25.00,4.4折,,http://product.dangdang.com/25316356.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""童书"", ""中国儿童文学"", ""童话故事""], [""图书"", ""童书"", ""3-6岁"", ""文学""], [""图书"", ""童书"", ""拼音读物""]]}"
柳林风声(《语文》阅读丛书)人民文学出版社,http://img3m5.ddimg.cn/16/34/25283725-1_l_7.jpg,14691.0,100%,（英）肯尼思・格雷厄姆,人民文学出版社,¥11.00,¥22.00,5.0折,,http://product.dangdang.com/25283725.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""中小学用书"", ""小学阅读"", ""课外阅读""]]}"
红楼梦（上下）(《语文》推荐阅读丛书)人民文学出版社,http://img3m9.ddimg.cn/0/18/25283709-1_l_8.jpg,41499.0,100%,曹雪芹,人民文学出版社,¥33.50,¥67.00,5.0折,¥34.00,http://product.dangdang.com/25283709.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""中小学用书"", ""初中阅读"", ""四大名著""]]}"
小猫汤米（套装全10册）,http://img3m8.ddimg.cn/15/31/25268478-1_l_15.jpg,10257.0,100%,黄小衡 著，小能人 绘,江西高校出版社,¥65.50,¥168.00,3.9折,,http://product.dangdang.com/25268478.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""童书"", ""绘本/图画书"", ""平装图画书"", ""欧美""], [""图书"", ""童书"", ""0-2岁"", ""图画故事""], [""图书"", ""童书"", ""3-6岁"", ""卡通/动漫/图画书""]]}"
米小圈上学记四年级（套装共4册）,http://img3m6.ddimg.cn/90/20/25261326-1_l_19.jpg,339410.0,100%,北猫,四川少儿出版社,¥50.00,¥100.00,5.0折,,http://product.dangdang.com/25261326.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""童书"", ""中国儿童文学"", ""成长/校园小说""], [""图书"", ""童书"", ""7-10岁"", ""文学""], [""图书"", ""童书"", ""快乐成长""]]}"
米小圈上学记二年级（套装共4册）,http://img3m3.ddimg.cn/87/17/25261323-1_l_18.jpg,444220.0,100%,北猫,四川少儿出版社,¥50.00,¥100.00,5.0折,,http://product.dangdang.com/25261323.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""童书"", ""中国儿童文学"", ""传统文化""], [""图书"", ""童书"", ""7-10岁"", ""文学""], [""图书"", ""童书"", ""快乐成长""]]}"
意林青年励志馆22--有目标的人在奔跑，没目标的人在流浪,http://img3m3.ddimg.cn/49/16/25210003-1_l_3.jpg,28747.0,100%,《意林》 图书部编,吉林摄影出版社,¥14.90,¥29.90,5.0折,,http://product.dangdang.com/25210003.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""成功/励志"", ""成功/激励"", ""激励""]]}"
秘密 （日本读者票选东野作品第 2名，仅次于《白夜行》）,http://img3m3.ddimg.cn/41/30/25172573-1_l_13.jpg,442972.0,98.7%,东野圭吾 著，新经典 出品,南海出版公司,¥22.50,¥45.00,5.0折,¥26.99,http://product.dangdang.com/25172573.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""小说"", ""社会小说""], [""图书"", ""小说"", ""外国小说"", ""日本""]]}"
微习惯: 简单到不可能失败的自我管理法则,http://img3m6.ddimg.cn/21/27/24034746-1_l_17.jpg,82032.0,99.9%,[美]斯蒂芬・盖斯，译者：桂君    后浪,江西人民出版社,¥19.00,¥38.00,5.0折,¥9.99,http://product.dangdang.com/24034746.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""成功/励志"", ""成功/激励"", ""自我经营""]]}"
心理学与生活（第19版）,http://img3m5.ddimg.cn/60/17/23840745-1_l_17.jpg,84283.0,99.8%,理查德・格里格 ，菲利普・津巴多 著 新曲线 出品，王垒 等译,人民邮电出版社,¥79.60,¥128.00,6.2折,¥65.60,http://product.dangdang.com/23840745.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""心理学"", ""心理学理论与研究"", ""心理学史/心理学研究""]]}"
孔子（日本文学大师井上靖毕生压轴杰作，获野间文艺奖，被誉为“历史小说明珠”）,http://img3m8.ddimg.cn/62/26/23381288-1_l_4.jpg,15649.0,99.7%,(日)井上靖 著，  刘慕沙 译，新经典  出品,北京十月文艺出版社,¥19.20,¥32.00,6.0折,¥18.79,http://product.dangdang.com/23381288.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""小说"", ""历史小说""], [""图书"", ""小说"", ""外国小说"", ""日本""]]}"
一年级大个子二年级小个子（注音版）,http://img3m1.ddimg.cn/56/23/22891331-1_l_13.jpg,370952.0,99.9%,(日)古田足日,接力出版社,¥14.90,¥19.80,7.5折,,http://product.dangdang.com/22891331.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""童书"", ""外国儿童文学"", ""桥梁书""], [""图书"", ""童书"", ""7-10岁"", ""文学""], [""图书"", ""童书"", ""经典必读""]]}"
圆运动的古中医学,http://img3m3.ddimg.cn/83/12/20048573-1_l_8.jpg,108165.0,99.5%,彭子益  著，李可  主校,中国中医药出版社,¥14.00,¥28.00,5.0折,¥6.99,http://product.dangdang.com/20048573.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""医学"", ""中医"", ""中医经典古籍""]]}"
中外名人故事（中小学生课外阅读指导丛书）无障碍阅读 彩插励志版,http://img3m6.ddimg.cn/23/31/29266106-1_l_11.jpg,104078.0,99.7%,王林 编写,时代文艺出版社,¥8.40,¥18.80,4.5折,,http://product.dangdang.com/29266106.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""中小学用书"", ""小学阅读"", ""课外阅读""]]}"
中国传统节日故事 儿童文学 小学课外阅读（中小学生课外阅读指导丛书）彩插无障碍阅读 智慧熊图书,http://img3m6.ddimg.cn/46/4/29210986-1_l_17.jpg,5438.0,100%,萧放,南方出版社,¥8.40,¥16.80,5.0折,,http://product.dangdang.com/29210986.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""中小学用书"", ""小学阅读"", ""课外阅读""]]}"
中华上下五千年(中小学生课外阅读指导丛书)无障碍阅读 彩插励志版 近30万多名读者热评！,http://img3m6.ddimg.cn/68/19/23197946-1_l_35.jpg,328215.0,99.9%,邵珠磊编写,南方出版社,¥5.80,¥15.80,3.7折,,http://product.dangdang.com/23197946.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""中小学用书"", ""小学阅读"", ""课外阅读""]]}"
手不是用来打人的（儿童好品德系列，全5册）孩子多读就见效的习惯养成书，缓解新手爸妈育儿焦虑，王志庚、孙莉莉、朱爱朝推荐,http://img3m7.ddimg.cn/36/32/25284537-1_l_16.jpg,464295.0,99.9%,（美）伊丽莎白・弗迪克、（美）玛丁妮・阿加西/著（美）玛丽卡・海因莱因/绘 陈薇薇、刘宣谷/译,贵州教育出版社,¥49.50,¥99.00,5.0折,,http://product.dangdang.com/25284537.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""童书"", ""绘本/图画书"", ""平装图画书"", ""欧美""], [""图书"", ""童书"", ""3-6岁"", ""卡通/动漫/图画书""], [""图书"", ""童书"", ""品格培养""]]}"
好好说话：非暴力沟通幼儿版 [3-6岁],http://img3m3.ddimg.cn/25/20/29159683-1_l_12.jpg,28287.0,100%,[西]克里斯蒂娜・特巴尔 著 [西]马尔・费雷罗 绘 何倩 译 人天兀鲁思 出品,太白文艺出版社,¥24.00,¥48.00,5.0折,,http://product.dangdang.com/29159683.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""童书"", ""绘本/图画书"", ""精装图画书"", ""欧美""], [""图书"", ""童书"", ""3-6岁"", ""卡通/动漫/图画书""], [""图书"", ""童书"", ""情商培养""]]}"
四大名著 生僻字注音+注释+注解 插图青少版 9-15岁孩子更易读懂 三国演义 红楼梦 水浒传 西游记,http://img3m6.ddimg.cn/35/15/25111286-1_l_41.jpg,145582.0,99.8%,（清）曹雪芹、（明）吴承恩、（明）罗贯中、（明）施耐庵 著，高高国际 出品,民主与建设出版社,¥42.90,¥119.20,3.6折,,http://product.dangdang.com/25111286.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""中小学用书"", ""小学阅读"", ""四大名著""]]}"
西西弗神话（诺奖得主加缪的哲学随笔集，李玉民教授万字导读，更易于领会其精髓！加缪是“荒诞哲学”的代表人物，备受余华、史铁生推崇）,http://img3m5.ddimg.cn/97/4/29470615-1_l_6.jpg,1374.0,99.9%,�z法�{阿尔贝・加缪  著，李玉民 译,台海出版社,¥16.20,¥36.00,4.5折,,http://product.dangdang.com/29470615.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""文学"", ""外国随笔""]]}"
快乐读书吧三年级下册 中国古代寓言 克雷洛夫寓言 伊索寓言 拉封丹寓言 推荐阅读套装共4册 无障碍阅读 中小学生课外阅读指导丛书,http://img3m9.ddimg.cn/49/1/29150599-1_l_27.jpg,11940.0,99.9%,克雷洛夫，伊索，让 德 拉封丹等,南方出版社,¥29.90,¥67.20,4.4折,,http://product.dangdang.com/29150599.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""中小学用书"", ""小学阅读"", ""快乐读书吧""]]}"
柳林风声(中小学生课外阅读指导丛书) 无障碍阅读 彩插励志版 55000多名读者热评！,http://img3m8.ddimg.cn/58/25/23349208-1_l_32.jpg,86578.0,100%,（英）格雷厄姆,时代文艺出版社,¥6.90,¥15.80,4.4折,,http://product.dangdang.com/23349208.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""中小学用书"", ""小学阅读"", ""课外阅读""]]}"
做自己喜欢的事，永远没有太晚的开始（人生只有一次，去做自己想做的事情吧！渡边淳一感动推荐）,http://img3m8.ddimg.cn/30/33/29118108-1_l_6.jpg,7861.0,99.9%,（美）摩西 奶奶著  张小默编译 知书达礼 出品,台海出版社,¥32.30,¥49.80,6.5折,¥15.00,http://product.dangdang.com/29118108.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""成功/励志"", ""成功/激励"", ""激励""]]}"
回家（孙悦新书！电影《亲爱的》原型之一孙海洋的漫漫寻子路，传递爱的教育。）,http://img3m6.ddimg.cn/80/16/29460896-1_l_11.jpg,67022.0,100%,孙悦,中信出版社,¥29.90,¥59.80,5.0折,¥41.86,http://product.dangdang.com/29460896.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""文学"", ""中国现当代随笔""]]}"
熵减法则：万物生存的底层逻辑，精神内耗自救指南，厉害的人都在用熵减法则,http://img3m3.ddimg.cn/87/11/29450013-1_l_13.jpg,5054.0,100%,何圣君 著，文通天下 出品,水利水电出版社,¥9.90,¥49.80,2.0折,¥17.90,http://product.dangdang.com/29450013.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""管理"", ""一般管理学"", ""管理学""]]}"
盛夏（套装全2册）（畅销书作家木苏里热血青春力作！随书印特签！）,http://img3m0.ddimg.cn/43/33/29443930-1_l_6.jpg,1680.0,99.8%,木苏里 著，白马时光 出品,北京燕山出版社,¥79.20,¥105.60,7.5折,,http://product.dangdang.com/29443930.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""青春文学"", ""青春爱情文学""]]}"
津巴多普通心理学（第8版）,http://img3m3.ddimg.cn/9/18/29405583-1_l_9.jpg,23541.0,100%,[美]菲利普・津巴多 [美]罗伯特・约翰逊 [美]薇薇安・麦卡恩,人民邮电出版社,¥99.00,¥198.00,5.0折,¥108.90,http://product.dangdang.com/29405583.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""心理学"", ""心理学理论与研究"", ""心理学史/心理学研究""]]}"
不白吃话山海经（印签+冰箱贴/闪卡随机！全网超4千万粉丝的美食漫画家“我是不白吃”重磅推出漫画版《山海经》！超值赠送精美书签+地图大拉页）,http://img3m4.ddimg.cn/9/36/29392614-1_l_13.jpg,23195.0,100%,"我是不白吃 著,博集天卷 出品",湖南文艺出版社,¥29.90,¥59.80,5.0折,¥40.99,http://product.dangdang.com/29392614.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""动漫/幽默"", ""大陆漫画"", ""其他大陆漫画""]]}"
我本芬芳（世界看不见我，但我看见我！从80岁开始的女性主义）,http://img3m1.ddimg.cn/88/29/29367151-1_l_19.jpg,15008.0,100%,杨本芬,北京联合出版有限公司,¥28.60,¥39.80,7.2折,¥35.80,http://product.dangdang.com/29367151.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""文学"", ""中国现当代随笔""]]}"
国际大奖小说--桥下一家人,http://img3m9.ddimg.cn/25/24/29329369-1_l_1.jpg,4628.0,100%,[美]纳塔莉・萨维奇・卡尔森,新蕾出版社,¥10.00,¥20.00,5.0折,,http://product.dangdang.com/29329369.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""童书"", ""外国儿童文学"", ""成长/校园小说""], [""图书"", ""童书"", ""7-10岁"", ""文学""]]}"
影响力（全新升级版）2021新版 “影响力教父”罗伯特・西奥迪尼新作,http://img3m9.ddimg.cn/7/17/29321629-1_l_29.jpg,332056.0,100%,罗伯特・西奥迪尼 著 闾佳 译 湛庐文化 出品,北京联合出版有限公司,¥78.30,¥99.90,7.8折,¥9.90,http://product.dangdang.com/29321629.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""管理"", ""市场/营销"", ""市场营销""]]}"
金阁寺（多次入围诺贝尔文学奖，鬼才作家三岛由纪夫代表作）,http://img3m5.ddimg.cn/74/31/29305955-1_l_4.jpg,20923.0,99.9%,(日)三岛由纪夫著  竹石文化 出品,古吴轩出版社,¥22.80,¥38.00,6.0折,¥13.80,http://product.dangdang.com/29305955.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""小说"", ""外国小说"", ""日本""]]}"
21天告别低效人生：彻底摆脱拖延的超实用指南,http://img3m2.ddimg.cn/37/14/29304532-1_l_7.jpg,18907.0,100%,(美)迈克尔・麦金托什 著，信任 译，斯坦威出品,天津科学技术出版社,¥17.10,¥45.00,3.8折,¥27.00,http://product.dangdang.com/29304532.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""成功/励志"", ""性格与习惯"", ""习惯""]]}"
张嘉佳作品集：天堂旅行团+云边有个小卖部,http://img3m1.ddimg.cn/10/18/29288071-1_l_8.jpg,27947.0,100%,"张嘉佳 著,博集天卷 出品",湖南文艺出版社,¥45.00,¥90.00,5.0折,,http://product.dangdang.com/29288071.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""小说"", ""中国当代小说""]]}"
林汉达中国历史故事集（珍藏版）,http://img3m4.ddimg.cn/88/8/29287654-1_l_4.jpg,228966.0,100%,林汉达、雪岗,中国少年儿童出版社,¥39.90,¥79.80,5.0折,,http://product.dangdang.com/29287654.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""童书"", ""中国儿童文学"", ""传统文化""], [""图书"", ""童书"", ""7-10岁"", ""文学""]]}"
病毒细菌小百科 1分钟儿童小百科,http://img3m2.ddimg.cn/33/13/29235822-1_l_6.jpg,38902.0,100%,介于童书 凤凰含章出品,江苏凤凰科学技术出版社,¥27.80,¥39.80,7.0折,,http://product.dangdang.com/29235822.html,"{""keys"": [""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：23579654""], ""cates"": [[""图书"", ""童书"", ""科普/百科"", ""百科""], [""图书"", ""童书"", ""7-10岁"", ""科普/百科""]]}"
