书名,图片,评论数,推荐量,作者,出版日期,出版社,售价,原价,折扣,电子书价格,详情页,keys,cates,desc
猫的风工厂：全5册（堪比宫崎骏作品的灵动风格，治愈系日本童话，新美南吉童话奖得主水野良惠、博洛尼亚国际画展入围插画师伊津野果诚意之作）,http://img3m5.ddimg.cn/31/12/29331355-1_l_5.jpg,19720.0,100%,[日]水野良惠/著,2021-12-17,长江少年儿童出版社,¥55.00,¥125.00,4.4折,,http://product.dangdang.com/29331355.html,"[""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787572120107""]","[[""图书"", ""童书"", ""外国儿童文学"", ""童话故事""], [""图书"", ""童书"", ""7-10岁"", ""文学""]]",猫猫们经营的风工厂，让孩子爱上科学的治愈系童话，堪比宫崎骏作品的灵动风格与深刻意境。亲近母语分级阅读书目推荐阅读，日本全国学校图书馆协会选定图书。（海豚传媒出品）  
不一样的卡梅拉动漫绘本（1-12）第二季,http://img3m4.ddimg.cn/4/1/23211544-1_l_8.jpg,200410.0,99.8%,郑迪蔚 编译,2012-12-01,二十一世纪出版社,¥52.80,¥120.00,4.4折,,http://product.dangdang.com/23211544.html,"[""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：7539105002112""]","[[""图书"", ""童书"", ""绘本/图画书"", ""平装图画书"", ""欧美""], [""图书"", ""童书"", ""3-6岁"", ""卡通/动漫/图画书""], [""图书"", ""童书"", ""经典必读""]]",成长路上必不可少的“伴侣”，寓教于乐的经典童书！（绘本3-6岁）  
中文分级阅读K2 阿凡提的故事（亲近母语）,http://img3m2.ddimg.cn/27/20/29001582-1_l_11.jpg,49883.0,100%,赵世杰 ，果麦文化 出品,2020-09-01,江苏凤凰文艺出版社,¥19.90,¥39.80,5.0折,,http://product.dangdang.com/29001582.html,"[""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787559448545""]","[[""图书"", ""童书"", ""中国儿童文学"", ""桥梁书""], [""图书"", ""童书"", ""7-10岁"", ""文学""]]",“阿凡提之父”赵世杰精心编译，忠实于口口相传的故事原貌！全彩蜡笔绘画，展现民族风情，充满童趣和想象力！简明轻快的语言，妙趣横生的故事，让孩子爱不释手！果麦出品  
中亚行纪,http://img3m8.ddimg.cn/8/16/29408948-1_l_8.jpg,6512.0,99.9%,（挪威）埃丽卡・法特兰 著，理想国 出品,2022-04-01,河南文艺出版社,¥46.60,¥66.00,7.1折,,http://product.dangdang.com/29408948.html,"[""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787555913320""]","[[""图书"", ""社会科学"", ""社会学"", ""社会管理与社会规划""]]",五个深深被误解且少有人涉足的国度 一位青年人类学家纵贯历史与当下的深度探索之旅 “一部穿越中亚的奥德赛”  
将军胡同,http://img3m9.ddimg.cn/53/34/28503539-1_l_14.jpg,70836.0,99.2%,史雷,2020-03-01,天天出版社有限责任公司,¥11.00,¥25.00,4.4折,,http://product.dangdang.com/28503539.html,"[""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787501610006"", ""丛书名：青铜葵花获奖作品""]","[[""图书"", ""童书"", ""中国儿童文学"", ""成长/校园小说""], [""图书"", ""童书"", ""7-10岁"", ""文学""], [""图书"", ""童书"", ""开学必备""]]",（ 中国好书！百班千人推荐阅读，青铜葵花奖获奖作品，9-12岁儿童文学读物青少年中小学生三四五六年级课外阅读书籍少儿成长经典书目。荣获全国优秀儿童文学奖，中华优秀出版物奖。）  
365夜睡前故事（全4册） 宝宝睡前故事书0-3-6岁幼儿故事书早教配图 婴儿绘本书籍 [0-6岁],http://img3m5.ddimg.cn/79/26/27856105-1_l_3.jpg,98758.0,99.9%,青葫芦,2018-01-01,福建科技出版社,¥29.50,¥67.20,4.4折,,http://product.dangdang.com/27856105.html,"[""开 本：20开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：9787533554439""]","[[""图书"", ""童书"", ""婴儿读物"", ""图画故事书""], [""图书"", ""童书"", ""0-2岁"", ""图画故事""], [""图书"", ""童书"", ""哄睡神器""]]",  
米小圈上学记三年级（套装共4册）,http://img3m4.ddimg.cn/88/18/25261324-1_l_18.jpg,355705.0,100%,北猫,2018-04-01,四川少儿出版社,¥50.00,¥100.00,5.0折,,http://product.dangdang.com/25261324.html,"[""开 本：24开"", ""纸 张：轻型纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：25261324""]","[[""图书"", ""童书"", ""中国儿童文学"", ""传统文化""], [""图书"", ""童书"", ""7-10岁"", ""文学""], [""图书"", ""童书"", ""快乐成长""]]",套装内含《搞笑大王来啦》《加油！足球小将》《小顽皮和老顽童》《我有一个跟屁虫》共计4本书。风靡小学校园的爆笑日记，好玩的插图，附作文魔法，分龄阅读，和乐观幽默的米小圈一起长大！  
小王子（全新未删节插图精装版！法国教育骑士勋章得主，译自法语原版《小王子》！读经典名著，认准作家榜！）作家榜经典,http://img3m0.ddimg.cn/12/36/24182940-1_l_262.jpg,137636.0,99.9%,[法] 圣-埃克苏佩里 著，作家榜经典名著 出品，树才 译，大星文化,2017-02-28,浙江文艺出版社,¥19.90,¥39.80,5.0折,,http://product.dangdang.com/24182940.html,"[""开 本：32开"", ""纸 张：纯质纸"", ""包 装：精装"", ""是否套装：否"", ""国际标准书号ISBN：9787533947279"", ""丛书名：作家榜经典文库""]","[[""图书"", ""小说"", ""世界名著"", ""欧洲""]]",荣获法国教育骑士勋章的诗人树才，译自法国Gallimard出版社1945年法语原版《小王子》！开创137200条真实口碑热评现象！好评如潮！看哭小王子迷！销量凭借口碑逆袭！  
人性的弱点（戴尔・卡耐基成功学的奠基之作）,http://img3m3.ddimg.cn/98/6/23720003-1_l_20.jpg,222777.0,99.7%,（美）卡耐基　著，林杰　译,2015-06-01,北京联合出版公司,¥13.40,¥29.80,4.5折,¥1.99,http://product.dangdang.com/23720003.html,"[""开 本：大32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787550254008""]","[[""图书"", ""成功/励志"", ""性格与习惯"", ""人性与人格""], [""图书"", ""成功/励志"", ""励志经典著作"", ""卡耐基""]]",20世纪伟大心灵导师卡耐基成功学的奠基之作  
原声触摸发声书：听，什么声音（套装全6册）,http://img3m9.ddimg.cn/8/14/25214219-1_l_32.jpg,285183.0,99.9%,"YOYO出版社 著绘,步步联盟 译",2020-01-01,开明出版社,¥129.00,¥330.00,3.9折,,http://product.dangdang.com/25214219.html,"[""开 本：24开"", ""纸 张：铜版纸"", ""包 装：精装"", ""是否套装：是"", ""国际标准书号ISBN：9787513153355""]","[[""图书"", ""童书"", ""玩具书"", ""发声/多媒体/乐器书""], [""图书"", ""童书"", ""0-2岁"", ""认知""], [""图书"", ""童书"", ""双语/英语绘本""]]",0-2岁婴幼儿宝宝触摸认知双语 会说话的早教启蒙有声书 步步联盟出品。自媒体母婴公众号联合推荐！汇集动物、交通、乐器、大自然等36种“真实原声”，耳育启蒙！  
海奥华预言中文版（米歇戴斯玛克特讲述地球人外星游记外观地球内视生命灵性预言性科幻小说作家出版社）,http://img3m1.ddimg.cn/10/34/25322131-1_l_2872.jpg,68057.0,100%,米歇・戴斯玛克特,2018-08-22,作家出版社,¥21.50,¥39.00,5.5折,,http://product.dangdang.com/25322131.html,"[""开 本：32开"", ""纸 张：轻型纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787521200836""]","[[""图书"", ""小说"", ""外国小说"", ""其他国家""]]",地球人的外星游记，外观地球的古往今来，内视自身生命，生命灵性。  
【随机金属贴纸+手写信+书单】梁永安：阅读、游历和爱情（宝藏教授B站up主梁永安新作，在不确定的时代，做确定的自己）,http://img3m9.ddimg.cn/97/34/29398939-1_l_29.jpg,45855.0,100%,梁永安,2022-05-01,北京时代华文书局,¥25.80,¥59.00,4.4折,¥19.99,http://product.dangdang.com/29398939.html,"[""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787569945782""]","[[""图书"", ""文学"", ""中国现当代随笔""]]",宝藏教授梁永安老师聚焦青年人关于阅读游历和爱情的真知灼见，15个话题个个戳心，处处共情，谈爱情、谈女性主义、谈自我、谈社交等，女性三步寻找到自我的精神价值，突破对自由的束缚，阅读是生命的答案。  
白鲸（英雄沉入海底，何尝不是英雄！乔布斯、马尔克斯、鲍勃・迪伦、村上春树的共同爱好就是读《白鲸》！),http://img3m5.ddimg.cn/42/7/28985955-1_l_13.jpg,19905.0,99.9%,[美]麦尔维尔 万亭文化 出品,2020-05-01,中央编译出版社,¥24.90,¥49.80,5.0折,,http://product.dangdang.com/28985955.html,"[""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787511706669""]","[[""图书"", ""小说"", ""世界名著"", ""欧洲""]]",名家全译本 中央级专业翻译出版社打造 国际大师插图 完美典藏版  
地心游记(中小学生课外阅读指导丛书) 无障碍阅读 彩插励志版 110000多名读者热评！,http://img3m7.ddimg.cn/13/8/23379457-1_l_29.jpg,145455.0,100%,儒勒 凡尔纳,2021-04-01,南方出版社,¥7.30,¥16.80,4.3折,,http://product.dangdang.com/23379457.html,"[""开 本：16开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787550168787""]","[[""图书"", ""中小学用书"", ""小学阅读"", ""课外阅读""]]",阅读本书培养执着、坚毅、专注的品质！  
狐狸侦探系列（3册）,http://img3m3.ddimg.cn/55/2/29262673-1_l_6.jpg,33182.0,100%,[德]弗朗齐斯卡・比尔曼  程玮 译,2021-08-03,接力出版社,¥52.50,¥105.00,5.0折,,http://product.dangdang.com/29262673.html,"[""开 本：32开"", ""纸 张：轻型纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：9787544872027""]","[[""图书"", ""童书"", ""外国儿童文学"", ""侦探/冒险小说""], [""图书"", ""童书"", ""7-10岁"", ""文学""]]",《吃书的狐狸》作者新作，德国青少年文学奖提名，入围深圳读书月“年度十大童书”。令人笑破肚皮的文字，暗藏丰富细节的彩图，颠覆经典童话，文学性、趣味性俱佳。儿童文学作家程玮献译，7-10岁孩子自主阅读佳选  
猫武士（首）一部曲（6册/套）,http://img3m7.ddimg.cn/86/20/29178257-1_l_6.jpg,67963.0,100%,艾琳・亨特,2022-01-01,中国少年儿童出版社,¥115.20,¥192.00,6.0折,,http://product.dangdang.com/29178257.html,"[""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：29178257""]","[[""图书"", ""童书"", ""外国儿童文学"", ""侦探/冒险小说""], [""图书"", ""童书"", ""7-10岁"", ""文学""]]",全球销量突破3000万册，媲美《哈利·波特》，奇幻动物小说经典读本，“英版沈石溪”艾琳·亨特得意之作。两种封面随机发货  
富爸爸穷爸爸（新版本）当当投资理财类图书！本版随书附赠价值198元的“小白财商在线课程”,http://img3m8.ddimg.cn/30/22/27902388-1_l_16.jpg,558154.0,100%,【美】罗伯特・清崎    萧明 译,2019-08-01,四川人民出版社,¥44.50,¥89.00,5.0折,¥23.99,http://product.dangdang.com/27902388.html,"[""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787220114045""]","[[""图书"", ""投资理财"", ""理财技巧""]]",当当投资理财类图书！富爸爸系列已发行多个国家和地区，助力众多读者财务自由之路。  
放学后（东野圭吾成名作）,http://img3m5.ddimg.cn/2/17/25154615-1_l_14.jpg,361337.0,100%,〔日〕东野圭吾 著，新经典 出品,2017-09-01,南海出版公司,¥26.10,¥45.00,5.8折,¥24.99,http://product.dangdang.com/25154615.html,"[""开 本：32开"", ""纸 张：轻型纸"", ""包 装：精装"", ""是否套装：否"", ""国际标准书号ISBN：9787544291224"", ""丛书名：东野圭吾作品""]","[[""图书"", ""小说"", ""侦探/悬疑/推理小说""]]",东野圭吾成名作，梦开始的地方，获江户川乱步奖，中文版销量超过100万册。什么时候人们在意的不是钱，而是友情、爱情、身体、容貌、回忆和梦想？  
悉达多（诺贝尔文学奖得主赫尔曼・黑塞的作品精选，充满希望与真实的自我回归之旅）,http://img3m5.ddimg.cn/43/1/25306225-1_l_16.jpg,21927.0,100%,�z德�{赫尔曼・黑塞 著   张佩芬  译,2018-07-11,时代文艺出版社,¥16.70,¥37.00,4.5折,¥1.99,http://product.dangdang.com/25306225.html,"[""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787538758238""]","[[""图书"", ""小说"", ""外国小说"", ""德国""]]",德国当代学者米夏尔斯称黑塞为“永属年轻一代的作家”，太多的年轻人，在黑塞笔下找到了自己的镜像。  
课文作家作品系列 找春天 二年级下册 经绍珍著（语文教材配套、教材编者选编、名家经典阅读、课文作家面对面）人民教育出版社 团购电话:4001066666转6,http://img3m4.ddimg.cn/41/30/29154254-1_l_13.jpg,14818.0,100%,"经绍珍 著,王林 主编",2020-08-01,人民教育出版社,¥21.30,¥25.00,8.5折,,http://product.dangdang.com/29154254.html,"[""开 本：16开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787107350696""]","[[""图书"", ""中小学用书"", ""小学阅读"", ""快乐读书吧""]]",现行教材配套、名家经典阅读、课文作家面对面  
法布尔昆虫记（全10册）（儿童彩图版）,http://img3m8.ddimg.cn/84/7/9101748-1_l_17.jpg,383278.0,99.6%,（韩）高苏珊娜  编著，（韩）金成荣  绘，李明淑  译  100层童书馆 出品,2014-07-01,北京科学技术出版社,¥99.00,¥198.00,5.0折,,http://product.dangdang.com/9101748.html,"[""开 本：16开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：9101748"", ""丛书名：法布尔昆虫记系列丛书""]","[[""图书"", ""童书"", ""科普/百科"", ""百科""], [""图书"", ""童书"", ""3-6岁"", ""科普/百科""], [""图书"", ""童书"", ""经典必读""]]",【美绘版 6-12岁适读】（中科院张广学院士审定，入选国家新闻出版总署阅读书目，听在线朗读，感受昆虫的喜怒哀乐，大师插画，让昆虫跃然纸上，培养热爱自然的意识，引导探索生命的奥妙，当当网终身五星图书）  
希腊神话故事 快乐读书吧 四年级上册推荐阅读(中小学生课外阅读指导丛书)无障碍阅读 彩插励志版 26000多名读者热评！,http://img3m8.ddimg.cn/53/19/26440478-1_l_42.jpg,99351.0,100%,（德）施瓦布,2018-10-01,南方出版社,¥8.00,¥24.80,3.2折,,http://product.dangdang.com/26440478.html,"[""开 本：16开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787550146570""]","[[""图书"", ""中小学用书"", ""小学阅读"", ""快乐读书吧""]]",新老版本任意发货  
凯迪克银奖绘本：穿靴子的猫：一年级推荐课外阅读书（麦克米伦世纪童书馆） [3-10岁],http://img3m2.ddimg.cn/43/32/29234842-1_l_4.jpg,139374.0,99.8%,[美]弗雷德?马塞利诺/图  [美]马尔科姆?阿瑟/英译,2015-02-01,二十一世纪出版社,¥18.40,¥42.00,4.4折,,http://product.dangdang.com/29234842.html,"[""开 本：16开"", ""纸 张：铜版纸"", ""包 装：精装"", ""是否套装：否"", ""国际标准书号ISBN：9787556801350""]","[[""图书"", ""童书"", ""绘本/图画书"", ""精装图画书"", ""欧美""], [""图书"", ""童书"", ""3-6岁"", ""卡通/动漫/图画书""], [""图书"", ""童书"", ""入学准备""]]",凯迪克银奖作品—用智慧赢得一段崭新的人生。精美绝伦的超豪华插图，使流传300 年的经典童话，重新绽放新的生命力！  
思考，快与慢（团购电话400-106-6666转6）,http://img3m8.ddimg.cn/3/7/22781388-1_l_8.jpg,306098.0,99.8%,(美)丹尼尔・卡尼曼,2012-07-01,中信出版社,¥44.40,¥69.00,6.4折,¥10.50,http://product.dangdang.com/22781388.html,"[""开 本：16开"", ""纸 张：胶版纸"", ""包 装：精装"", ""是否套装：否"", ""国际标准书号ISBN：9787508633558""]","[[""图书"", ""管理"", ""一般管理学"", ""管理学""]]",丹尼尔·卡尼曼是位格外令人兴致盎然的思想家，是现今在世的*有影响力的心理学家之一，他因对判断和决策制定的理性模式提出挑战而荣获2002年度的诺贝尔经济学奖  
米小圈趣味猜谜语（套装共4册）,http://img3m8.ddimg.cn/14/28/29462018-1_l_5.jpg,5276.0,100%,北猫,2022-09-01,四川少年儿童出版社,¥35.20,¥80.00,4.4折,,http://product.dangdang.com/29462018.html,"[""开 本：24开"", ""纸 张：胶版纸"", ""包 装：平装"", ""是否套装：否"", ""国际标准书号ISBN：29462018"", ""丛书名：米小圈趣味猜谜语""]","[[""图书"", ""童书"", ""益智游戏"", ""迷宫&谜语""], [""图书"", ""童书"", ""3-6岁"", ""益智游戏""]]",读故事，智闯关，巧解谜。快和米小圈一起开动脑筋吧！  
华夏万卷楷书字帖8本套 正楷一本通初学者控笔训练字帖学生成人楷书钢笔字帖硬笔书法临摹描红练字帖赠练字笔,http://img3m3.ddimg.cn/65/23/29196353-1_l_8.jpg,30103.0,100%,田英章 周培纳 书,2020-11-01,上海交通大学出版社,¥28.20,¥60.00,4.7折,,http://product.dangdang.com/29196353.html,"[""开 本：16开"", ""纸 张：字帖纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：9787313171115""]","[[""图书"", ""艺术"", ""书法/篆刻"", ""字帖""]]",控笔训练+正楷一本通入门套装，赠笔配视频。  
蛤蟆先生去看心理医生：漫画版（造福万千家庭的心理学知识读本，漫画版更温暖、更好读）,http://img3m3.ddimg.cn/83/30/29460503-1_l_12.jpg,6946.0,100%,[英]罗伯特・戴博德，译者 陈赢，果麦文化  出品,2022-09-01,四川文艺出版社,¥24.00,¥48.00,5.0折,,http://product.dangdang.com/29460503.html,"[""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装"", ""是否套装：否"", ""国际标准书号ISBN：9787541164262""]","[[""图书"", ""心理学"", ""心灵疗愈""]]",无门槛，更好读，百余幅精彩漫画演绎10次心理咨询，趣味呈现33个心理学知识，保留原著大量金句。人生总有不如意，但任何时候你都可以选择变得更好！果麦出品  
金字塔原理大全集（共2册）（思考表达和解决问题的逻辑，“抖音同款”麦肯锡40年经典培训教材）,http://img3m6.ddimg.cn/38/18/27891506-1_l_10.jpg,118461.0,100%,芭芭拉 ・ 明托  著  ， 新经典  出品,2019-07-01,南海出版公司,¥79.20,¥176.00,4.5折,,http://product.dangdang.com/27891506.html,"[""开 本：16开"", ""纸 张：胶版纸"", ""包 装：精装"", ""是否套装：是"", ""国际标准书号ISBN：9787544294836""]","[[""图书"", ""管理"", ""一般管理学"", ""管理学""]]",（全新改版《金字塔原理》+《金字塔原理实战篇》）麦肯锡经典培训教材  基础原理+实战训练  精进思考、分析和表达能力  管理者和各行各业职场人的实用工具，世界知名企业和院校用来培训成员的逻辑思考方法  
骆驼祥子 新版 七年级下册推荐阅读（价值精装典藏版 无障碍阅读 朱永新及各省级教育专家联袂推荐）,http://img3m5.ddimg.cn/98/23/25193915-1_l_26.jpg,47049.0,99.9%,老舍,2017-06-01,商务印书馆,¥12.70,¥29.80,4.3折,,http://product.dangdang.com/25193915.html,"[""开 本：16开"", ""纸 张：胶版纸"", ""包 装：精装"", ""是否套装：否"", ""国际标准书号ISBN：9787100113977"", ""丛书名：经典名著大家名作""]","[[""图书"", ""中小学用书"", ""初中阅读"", ""课外阅读""]]",  
协和专家孕产大百科（汉竹）,http://img3m1.ddimg.cn/17/19/24029891-1_l_9.jpg,66513.0,100%,马良坤  丁国芳  李宁,2016-08-01,江苏科学技术出版社,¥22.50,¥49.80,4.5折,¥10.46,http://product.dangdang.com/24029891.html,"[""开 本：12开"", ""纸 张：轻型纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787553767857""]","[[""图书"", ""孕产/胎教"", ""孕产妇健康""]]",北京协和医院妇产科、儿科、营养科医生联手打造，专属中国妈妈的怀孕圣经！胎宝宝变化、营养饮食、体重管理、产检、保健、胎教、情绪、运动……40周怀孕全程指导，悉心呵护每一刻！  
我的第一本化学启蒙书,http://img3m8.ddimg.cn/75/6/29437428-1_l_1.jpg,5092.0,100%,冰河,2022-07-01,中国和平出版社,¥49.80,¥100.00,5.0折,,http://product.dangdang.com/29437428.html,"[""开 本：128开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787513722568""]","[[""图书"", ""童书"", ""科普/百科"", ""科普""], [""图书"", ""童书"", ""3-6岁"", ""科普/百科""]]",  
半小时漫画宇宙大爆炸（半小时读完138亿年宇宙史，一口气搞懂大爆炸、奇点、黑洞、引力波、暗物质……）新老版随机发货,http://img3m0.ddimg.cn/28/29/29322640-1_l_9.jpg,41955.0,100%,陈磊・半小时漫画团队；读客文化 出品,2021-11-08,浙江科学技术出版社,¥24.50,¥49.00,5.0折,¥49.00,http://product.dangdang.com/29322640.html,"[""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装"", ""是否套装：否"", ""国际标准书号ISBN：9787534198793""]","[[""图书"", ""科普读物"", ""宇宙知识""]]",半小时读完138亿年宇宙史，一口气搞懂大爆炸、奇点、黑洞、引力波、暗物质……混子哥陈磊新作！不摆吓人的艰深理论，没有沉闷的史料堆砌，翻开本书，笑着笑着搞定宇宙常识！读客熊猫君出品 过年不打烊，科技好书五折封顶 
典籍里的中国（共4册）（读典籍，学文史。有趣，有料，有知识点）,http://img3m0.ddimg.cn/5/1/29343110-1_l_13.jpg,23770.0,99.9%,有书,2022-01-01,天地出版社,¥79.40,¥159.20,5.0折,,http://product.dangdang.com/29343110.html,"[""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787545566215""]","[[""图书"", ""历史"", ""史料典籍""]]",全套书超过700位历史人物出场，2000+文史知识点。原典呈现，有据可考，季薇、黄向军、申一帆、席越、徐彬等重磅推荐！  
人类群星闪耀时（1927年原版，德文直译无删节。犹豫就会败北，余华推荐）,http://img3m5.ddimg.cn/79/27/29252005-1_l_29.jpg,25729.0,100%,[奥]斯蒂芬・茨威格 创美工厂出品,2021-05-01,中国友谊出版公司,¥14.90,¥29.80,5.0折,¥7.84,http://product.dangdang.com/29252005.html,"[""开 本：32开"", ""纸 张：轻型纸"", ""包 装：精装"", ""是否套装：否"", ""国际标准书号ISBN：9787505733206""]","[[""图书"", ""传记"", ""人物合集""]]",1927年原版定本，传记之王茨威格享誉世界之作。在漫长的岁月中，孤独始终伴随着他  
认知驱动：做成一件对他人很有用的事,http://img3m6.ddimg.cn/42/14/29295726-1_l_7.jpg,23143.0,100%,周岭,2021-08-30,人民邮电出版社,¥29.90,¥59.80,5.0折,¥35.80,http://product.dangdang.com/29295726.html,"[""开 本：128开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787115569455""]","[[""图书"", ""成功/励志"", ""智商/智谋"", ""智商/思维训练""]]",《认知觉醒》姊妹篇，周岭新作，用底层规律开启认知驱动力，让你的努力变得有效。告诉你如何有效行动、实践，创造可控人生，采铜、古典、成甲、卫蓝等诚挚推荐。  
年味儿――保冬妮中国节日绘本・春节（花婆婆绘本小铺、“全国优秀少儿图书奖”“冰心儿童图书奖”得主创作，5-10岁适读）,http://img3m3.ddimg.cn/27/24/29189583-1_l_17.jpg,3639.0,100%,保冬妮 著   于洪燕 绘,2021-01-01,新疆青少年出版社,¥19.00,¥38.00,5.0折,,http://product.dangdang.com/29189583.html,"[""开 本：大16开"", ""纸 张：铜版纸"", ""包 装：精装"", ""是否套装：否"", ""国际标准书号ISBN：9787559028815""]","[[""图书"", ""童书"", ""绘本/图画书"", ""精装图画书"", ""中国原创""], [""图书"", ""童书"", ""3-6岁"", ""卡通/动漫/图画书""], [""图书"", ""童书"", ""少儿国学""]]",中国传统节日绘本，精装绘本，中国节日绘本，节日里的中国故事，浓浓的家庭情意，让孩子在贴近生活的故事中读懂节日内涵，了解节日的历史由来、民间传说和风俗习惯。春节、元宵节、清明节、端午节、重阳节、花朝节  
人间告白（央视读书推荐！何炅、谢娜、 易烊千玺推荐，花生妈妈金鱼酱写给儿子的信）,http://img3m5.ddimg.cn/56/12/28518095-1_l_50.jpg,138755.0,100%,金鱼酱  白马时光出品,2020-03-01,百花洲文艺出版社,¥24.90,¥49.80,5.0折,¥29.99,http://product.dangdang.com/28518095.html,"[""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787550035652""]","[[""图书"", ""文学"", ""中国现当代随笔""]]",（央视读书推荐，湖南卫视，“朋友请听好”里感动何炅、谢娜、易烊千玺的花生妈妈写给爱人的告白。跟《浮生六记》《平如美棠》一样感动读者的真实爱情故事。随书附赠写给儿子的一封信。白马时光）  
家庭教育指南【团购优惠咨询电话：4001066666转6】（著名教育家李希贵首部家庭教育力作 #小蓝本# ）,http://img3m9.ddimg.cn/40/34/29474419-1_l_3.jpg,2115.0,99.9%,李希贵 著; 得到图书 出品,2022-10-19,新星出版社,¥128.00,¥128.00,10.0折,,http://product.dangdang.com/29474419.html,"[""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787513349895""]","[[""图书"", ""亲子/家教"", ""家教方法""]]",手把手教你做父母，培养社会情感和思维能力全面发展的好孩子/10条原则 24种方法 10项任务 10个工具。精装活页册，既可以整本翻看，也可以单独取下阅读。  
小学生心理学漫画(全6册)6种心理能力，培养好性格，内心更强大。从小心理健康，成长越挫越强！(小学生漫画系列),http://img3m1.ddimg.cn/4/23/28496461-1_l_19.jpg,89832.0,100%,小禾心理研究所 著；读客文化 出品,2019-12-09,江苏凤凰文艺出版社,¥82.00,¥196.80,4.2折,¥79.99,http://product.dangdang.com/28496461.html,"[""开 本：16开"", ""纸 张：轻型纸"", ""包 装：平装-胶订"", ""是否套装：是"", ""国际标准书号ISBN：9787559440259""]","[[""图书"", ""童书"", ""动漫/卡通"", ""漫画""], [""图书"", ""童书"", ""7-10岁"", ""卡通/动漫/图画书""], [""图书"", ""童书"", ""情绪管理""]]",小学生心理自助书籍，趣味漫画还原孩子心理环境，语言浅显的实操训练方法，专家撰文的心理机制分析，从社交、自信、情绪自控、自助、积极、幽默六方面提升孩子心理健康，让孩子面对挫折，更加坚强  
瓦尔登湖(珍藏本) 朗读者朗读书目,http://img3m3.ddimg.cn/10/14/20971873-1_l_17.jpg,613952.0,99.7%,（美）梭罗    知书达礼  出品,2010-12-01,中国三峡出版社,¥10.30,¥28.00,3.7折,,http://product.dangdang.com/20971873.html,"[""开 本：32开"", ""纸 张：胶版纸"", ""包 装：平装-胶订"", ""是否套装：否"", ""国际标准书号ISBN：9787802236516""]","[[""图书"", ""文学"", ""外国随笔""]]",美国自然文学的典范，与《圣经》一同被评为“塑造读者的25本书”。瓦尔登湖旅游节指定中文版本，管理者Machael  J. Frederick 盛赞推荐。清华大学校长送给新生的见面礼，朗读者推荐阅读。  
