书名,图片,评论数,推荐量,作者,出版日期,出版社,售价,原价,折扣,电子书价格,详情页
数学花园漫游记（中小学科普经典阅读书系）,http://img3m8.ddimg.cn/62/35/27922418-1_l_5.jpg,11995,100%,马希文，王猛，等点评,2019-09-01,长江文艺出版社,¥9.60,¥22.00,4.4折,,http://product.dangdang.com/27922418.html
科学家故事100个（叶永烈）,http://img3m8.ddimg.cn/9/13/24166008-1_l_15.jpg,202036,100%,叶永烈,2017-01-01,长江文艺出版社,¥12.70,¥29.00,4.4折,,http://product.dangdang.com/24166008.html
三国演义 四大名著 课外阅读（足本典藏精装 无障碍阅读 疑难字注音 解词释义）,http://img3m7.ddimg.cn/60/33/23992017-1_l_12.jpg,100734,99.9%,罗贯中,2016-04-01,商务印书馆,¥15.30,¥36.00,4.3折,,http://product.dangdang.com/23992017.html
三国演义 青少插图版 中小学生无障碍阅读 生僻字注音+注释+注解 余秋雨寄语 梅子涵作序推荐,http://img3m4.ddimg.cn/10/12/23810104-1_l_36.jpg,12027,99.9%,（明）罗贯中 著，高高国际 出品,2015-11-30,作家出版社,¥8.00,¥25.00,3.2折,¥12.99,http://product.dangdang.com/23810104.html
墨点字帖 通用规范汉字7000字行楷荆霄鹏漂亮临摹练字男女初学者硬笔书法练字帖,http://img3m0.ddimg.cn/20/25/29250560-1_l_9.jpg,13910,100%,荆霄鹏,2021-05-01,湖北美术出版社,¥11.50,¥23.00,5.0折,,http://product.dangdang.com/29250560.html
繁星・春水(《语文》推荐阅读丛书) 人民文学出版社,http://img3m5.ddimg.cn/2/12/29420525-1_l_3.jpg,61549,100%,冰心著,2022-06-01,人民文学出版社,¥14.50,¥29.00,5.0折,,http://product.dangdang.com/29420525.html
列那狐的故事（彩图注音版） 汇聚金波 沈石溪 常新港 冰波 汤素兰等50多位名家名作,http://img3m5.ddimg.cn/23/16/25298285-1_l_8.jpg,37399,100%,(法) 玛・阿希・季诺夫人,2017-06-01,北京教育出版社,¥7.40,¥19.80,3.7折,,http://product.dangdang.com/25298285.html
假如给我三天光明（中小学生阅读指导目录5-6年级。海伦・凯勒在逆境中创造奇迹的伟大自传，她被《时代周刊》评为20世纪美国十大英雄偶像之一）,http://img3m0.ddimg.cn/60/18/23643240-1_l_16.jpg,276176,99.8%,（美）凯勒　著，吴君芳，王一凡　译,2015-01-01,安徽教育出版社,¥9.00,¥18.00,5.0折,¥1.99,http://product.dangdang.com/23643240.html
丰子恺岁月忽已晚，灯火要人归（插画版）名家散文集,http://img3m3.ddimg.cn/55/9/29400283-1_l_15.jpg,18901,100%,丰子恺 著，文通天下 出品,2022-03-01,甘肃人民出版社,¥17.50,¥56.00,3.1折,¥19.90,http://product.dangdang.com/29400283.html
长青藤国际大奖小说书系：十二岁的旅程,http://img3m1.ddimg.cn/42/23/25063971-1_l_5.jpg,71430,100%,（美）赖清河；   禹田文化   出品,2017-04-01,云南出版集团公司 晨光出版社,¥17.10,¥22.00,7.8折,,http://product.dangdang.com/25063971.html
海底两万里 骆驼祥子 七年级下册推荐阅读(中小学生课外阅读指导丛书)无障碍阅读 彩插励志版（套装共2册）21000多名读者热评！,http://img3m3.ddimg.cn/85/36/25175983-1_l_22.jpg,33030,99.9%,儒勒 凡尔纳，老舍，,2012-08-01,时代文艺出版社,¥13.30,¥30.60,4.3折,,http://product.dangdang.com/25175983.html
闪闪的红星 红色经典故事（青少年爱国主义教育读本 中小学生课外阅读指导丛书）无障碍阅读 彩插励志版 1000多名读者热评！,http://img3m6.ddimg.cn/6/25/27950676-1_l_29.jpg,36303,100%,李心田,2019-09-01,南方出版社,¥8.90,¥19.80,4.5折,,http://product.dangdang.com/27950676.html
围城 钱锺书著（2022年精装新版）,http://img3m6.ddimg.cn/64/36/29427616-1_l_6.jpg,1225541,99.8%,钱锺书,2022-07-01,人民文学出版社,¥37.90,¥48.00,7.9折,,http://product.dangdang.com/29427616.html
喝月亮的女孩・纽伯瑞金奖,http://img3m3.ddimg.cn/0/11/28472103-1_l_43.jpg,56142,100%,【美】凯莉・巴恩希尔 著   【美】舒杭丽 译,2019-04-01,贵州人民出版社,¥19.90,¥39.80,5.0折,,http://product.dangdang.com/28472103.html
爱丽丝漫游奇境 新版（全译精装典藏版 无障碍阅读 朱永新及各省级教育专家联袂推荐）,http://img3m1.ddimg.cn/14/36/25101761-1_l_23.jpg,19411,100%,（英）刘易斯卡罗尔,2017-05-01,商务印书馆,¥13.10,¥30.80,4.3折,,http://product.dangdang.com/25101761.html
白洋淀纪事 全本无删减  七年级上册推荐阅读(中小学生课外阅读指导丛书) 无障碍阅读 彩插励志版 43000多名读者热评！,http://img3m4.ddimg.cn/14/21/25229174-1_l_32.jpg,113029,100%,孙犁,2018-01-01,南方出版社,¥11.30,¥29.80,3.8折,,http://product.dangdang.com/25229174.html
木偶奇遇记（彩图注音版） 汇聚金波 沈石溪 常新港 冰波 汤素兰等50多位名家名作,http://img3m0.ddimg.cn/28/21/25298290-1_l_11.jpg,26523,100%,[意]卡洛・科洛迪/著,2017-06-01,北京教育出版社,¥7.40,¥19.80,3.7折,,http://product.dangdang.com/25298290.html
"基督山伯爵（周克希法语直译，布面精装典雅珍藏,全译本，豆瓣9.2分）",http://img3m7.ddimg.cn/34/21/26435707-1_l_23.jpg,90268,99.6%,大仲马 著，周克希 译,2018-10-01,译林出版社,¥69.00,¥138.00,5.0折,,http://product.dangdang.com/26435707.html
鼹鼠的月亮河 百年百部经典书系 王一梅代表作，曾获全国优秀儿童文学奖、冰心儿童文学奖,http://img3m7.ddimg.cn/78/10/23954217-1_l_6.jpg,61908,100%,王一梅,2016-04-01,长江少年儿童出版社,¥10.10,¥22.00,4.6折,,http://product.dangdang.com/23954217.html
西游记 ( 青少版，依据原著改写成现代白话文，适合小学高年级和初中生阅读),http://img3m8.ddimg.cn/90/1/23845428-1_l_23.jpg,164441,99.8%,（明）吴承恩 著；张燕均，富强 改编,2016-01-01,浙江教育出版社,¥11.70,¥26.00,4.5折,,http://product.dangdang.com/23845428.html
绿野仙踪（《语文》阅读丛书）人民文学出版社,http://img3m8.ddimg.cn/7/13/25287478-1_l_6.jpg,16495,100%,（美）弗兰克・鲍姆,2018-06-01,人民文学出版社,¥12.20,¥26.00,4.7折,¥13.00,http://product.dangdang.com/25287478.html
罗尔德・达尔作品典藏 查理和巧克力工厂,http://img3m8.ddimg.cn/44/32/25110008-1_l_21.jpg,380735,99.9%,罗尔德・达尔,2009-03-01,明天出版社,¥11.00,¥22.00,5.0折,,http://product.dangdang.com/25110008.html
镜花缘 七年级上册推荐阅读(中小学生课外阅读指导丛书) 无障碍阅读 彩插励志版 74000多名读者热评！,http://img3m6.ddimg.cn/96/35/25216386-1_l_38.jpg,105515,100%,（清）李汝珍,2017-12-01,南方出版社,¥12.50,¥28.80,4.3折,,http://product.dangdang.com/25216386.html
了不起的我：自我发展的心理学（陈海贤重磅新作，得到付费用户亲测有效 ）,http://img3m7.ddimg.cn/49/27/28469677-1_l_33.jpg,177288,100%,陈海贤 著; 得到图书 出品,2019-11-01,台海出版社,¥35.10,¥69.00,5.1折,,http://product.dangdang.com/28469677.html
月亮和六便士（又译作月亮与六便士，导读详注完整无删版，央视新闻推荐李继宏译本，精装）【果麦经典】,http://img3m7.ddimg.cn/24/7/23855757-1_l_37.jpg,158010,99.9%,[英]毛姆 著，李继宏 译，果麦文化 出品,2016-01-01,天津人民出版社,¥24.00,¥48.00,5.0折,¥4.99,http://product.dangdang.com/23855757.html
猫 老舍专集小学生三四五六年级课外书阅读 世界经典文学名著（名师精读版）9-12岁中小学生散文集经典当代名家读物,http://img3m0.ddimg.cn/73/27/29338030-1_l_4.jpg,1425,99.9%,老舍 著,2021-07-01,台海出版社,¥7.70,¥19.80,3.9折,,http://product.dangdang.com/29338030.html
宫西达也“神奇想象力”图画书（超值礼盒装全23册，独家附赠2本图画本！激发想象，传达温暖，让孩子积极乐观地成长！）,http://img3m2.ddimg.cn/48/31/29412552-1_l_10.jpg,452074,99.9%,[日]宫西达也著；彭懿、朱自强、米雅译,2022-06-01,青岛出版社,¥214.90,¥442.00,4.9折,,http://product.dangdang.com/29412552.html
三国演义 白话注释艺术插图青少版  余秋雨推荐、梅子涵作序 好评如潮 新版修订,http://img3m5.ddimg.cn/72/2/25111125-1_l_37.jpg,69697,99.8%,（明）罗贯中 著，高高国际 出品,2017-08-01,民主与建设出版社,¥11.90,¥29.80,4.0折,,http://product.dangdang.com/25111125.html
小巴掌童话 百年百部精选注音书,http://img3m6.ddimg.cn/76/31/25316356-1_l_3.jpg,21042,100%,张秋生,2018-08-01,长江少年儿童出版社,¥11.00,¥25.00,4.4折,,http://product.dangdang.com/25316356.html
东野圭吾：透明的螺旋（东野圭吾新书，《嫌疑人X的献身》系列新作！你，准备好逃出悲剧的循环了吗？）,http://img3m8.ddimg.cn/42/34/29389578-1_l_8.jpg,50410,100%,（日）东野圭吾  著 ， 新经典  出品,2022-04-01,南海出版公司,¥24.50,¥49.00,5.0折,¥39.99,http://product.dangdang.com/29389578.html
曹文轩文集-青铜葵花,http://img3m2.ddimg.cn/88/29/22506352-1_l_21.jpg,132810,99.8%,曹文轩,2011-10-01,天天出版社有限责任公司,¥8.30,¥19.00,4.4折,,http://product.dangdang.com/22506352.html
理想国（罗翔多次推荐的哲学经典，周国平强烈推荐版本，豆瓣9.6分译本）,http://img3m6.ddimg.cn/62/18/29305646-1_l_17.jpg,22755,100%,[古希腊]柏拉图，译者 何祥迪，果麦文化 出品,2021-10-01,云南人民出版社,¥34.00,¥68.00,5.0折,,http://product.dangdang.com/29305646.html
罗尔德达尔 作品典藏 好心眼儿巨人（电影《圆梦巨人》改编自好心眼巨人）,http://img3m1.ddimg.cn/47/35/25110011-1_l_23.jpg,128483,99.9%,罗尔德・达尔,2009-03-01,明天出版社,¥12.50,¥25.00,5.0折,,http://product.dangdang.com/25110011.html
双城记（狄更斯经典代表作，逝世150周年纪念版！翻译泰斗宋兆霖权威译本。）,http://img3m4.ddimg.cn/70/2/28990834-1_l_17.jpg,67849,99.9%,（英）查尔斯・狄更斯著 宋兆霖译 知书达礼 出品,2020-07-01,台海出版社,¥25.80,¥49.80,5.2折,¥12.88,http://product.dangdang.com/28990834.html
一只想飞的猫 二年级上册 小学生二年级快乐读书吧推荐阅读 全彩注音有声朗读 二年级课外阅读,http://img3m5.ddimg.cn/97/1/27883645-1_l_12.jpg,79087,100%,陈伯吹,2019-06-01,商务印书馆,¥9.30,¥21.80,4.3折,,http://product.dangdang.com/27883645.html
郑渊洁四大名传：皮皮鲁传,http://img3m6.ddimg.cn/85/0/29212906-1_l_1.jpg,446532,99.4%,郑渊洁,2015-12-01,浙江少年儿童出版社,¥12.20,¥29.00,4.2折,,http://product.dangdang.com/29212906.html
山月记（如果你很迷茫！自我拉扯！一定要读《山月记》。日本文豪中岛敦笔下的中国物语，常年入选日本国语教材）【果麦经典】,http://img3m1.ddimg.cn/53/9/26514431-1_l_24.jpg,210242,99.9%,（日）中岛敦，译者 徐建雄，绘者 撒旦君，果麦文化 出品,2019-02-01,三秦出版社,¥22.50,¥45.00,5.0折,¥6.99,http://product.dangdang.com/26514431.html
DK博物大百科――自然界的视觉盛宴,http://img3m0.ddimg.cn/95/1/27887900-1_l_2.jpg,227384,99.9%,英国DK公司,2018-09-01,科学普及出版社,¥174.00,¥458.00,3.8折,,http://product.dangdang.com/27887900.html
可爱的中国 红色经典（中小学生课外阅读指导丛书）彩插无障碍阅读 智慧熊图书,http://img3m1.ddimg.cn/40/20/29397001-1_l_6.jpg,1466,100%,方志敏,2022-03-01,南方出版社,¥11.40,¥22.80,5.0折,,http://product.dangdang.com/29397001.html
中国传统节日故事图画书（共七册：春节、元宵、清明、端午、七夕、中秋、重阳）,http://img3m8.ddimg.cn/5/34/25246688-1_l_17.jpg,33321,100%,高洪波等 著,2018-04-01,中国少年儿童出版社,¥64.60,¥154.00,4.2折,,http://product.dangdang.com/25246688.html
快乐读书吧 和大人一起读 读读童谣和儿歌 全彩注音 小学一年级推荐阅读（有声朗读）套装全8册 小学课外阅读,http://img3m7.ddimg.cn/2/8/28979777-1_l_26.jpg,9678,99.9%,樊发稼编选,2020-06-01,商务印书馆,¥34.40,¥86.00,4.0折,,http://product.dangdang.com/28979777.html
0-4岁幼儿认知小百科（全3册),http://img3m1.ddimg.cn/43/31/23417701-1_l_30.jpg,531255,99.8%,[日]吉田淳子 绘；徐超 译；心喜阅童书 出品,2014-02-01,长江少年儿童出版社,¥49.90,¥119.40,4.2折,,http://product.dangdang.com/23417701.html
刀锋（“故事高手”毛姆晚年重要作品，兰登书屋典藏本全文翻译）,http://img3m1.ddimg.cn/12/26/25157991-1_l_16.jpg,38118,100%,毛姆  ，译者  韦清琦，果麦文化 出品,2017-09-01,江西人民出版社,¥18.00,¥36.00,5.0折,¥3.99,http://product.dangdang.com/25157991.html
明朝简史:一书读透大明三百年，揭示帝国由盛转衰的秘密.,http://img3m6.ddimg.cn/0/31/28518336-1_l_3.jpg,56544,99.9%,吴晗 著，斯坦威 出品,2019-11-01,中国华侨出版社,¥21.60,¥48.00,4.5折,¥24.00,http://product.dangdang.com/28518336.html
爱丽丝梦游仙境（精装版） 又名：爱丽丝漫游奇境（六年级下册 快乐读书吧，中小学课外阅读）,http://img3m9.ddimg.cn/10/29/25251049-1_l_13.jpg,58227,100%,（英）刘易斯・卡罗尔 著，栗子文化出品，有容书邦 发行,2017-08-01,江苏文艺出版社,¥11.30,¥32.00,3.5折,,http://product.dangdang.com/25251049.html
父与子全集（彩色注音版）,http://img3m1.ddimg.cn/92/6/25201631-1_l_4.jpg,144319,100%,卜劳恩,2017-12-01,安徽少年儿童出版社,¥10.30,¥25.00,4.1折,,http://product.dangdang.com/25201631.html
100层的房子系列（全4册，《100层的房子》+《地下100层的房子》+《海底100层的房子》+《天空100层的房子》）,http://img3m6.ddimg.cn/55/19/26916076-1_l_5.jpg,278938,100%,[日]岩井俊雄  100层童书馆 出品,2018-08-01,北京科学技术出版社,¥78.00,¥156.00,5.0折,,http://product.dangdang.com/26916076.html
邓小平时代,http://img3m2.ddimg.cn/82/34/22923532-1_l_16.jpg,167940,99.6%,(美) 傅高义著,2013-01-01,生活.读书.新知三联书店,¥66.00,¥88.00,7.5折,,http://product.dangdang.com/22923532.html
荒原狼（比肩《尤利西斯》，纯正德文直译，无删减完整版。）,http://img3m4.ddimg.cn/34/8/28541734-1_l_8.jpg,25300,100%,(德) 赫尔曼・黑塞著 田伟华译 知书达礼 出品,2020-04-01,台海出版社,¥37.70,¥58.00,6.5折,¥16.88,http://product.dangdang.com/28541734.html
中国历代政治得失,http://img3m0.ddimg.cn/41/29/29450660-1_l_9.jpg,,0%,钱穆 著，理想国 出品,2022-08-01,海南出版社,¥28.00,¥48.00,5.8折,,http://product.dangdang.com/29450660.html
骑鹅旅行记：全译本（未删减版 快乐读书吧 六年级下册 中小学生课外阅读书 无障碍阅读 又译《尼尔斯骑鹅历险记》）,http://img3m7.ddimg.cn/23/14/29370947-1_l_7.jpg,2187,100%,[瑞典]塞尔玛・拉格洛夫 著  石琴娥 译，麦书房出品，有容书邦发行,2022-02-18,江苏凤凰文艺出版社,¥22.50,¥46.00,4.9折,,http://product.dangdang.com/29370947.html
名人传（1915年诺贝尔文学奖获得者罗曼・罗兰的传记代表作）,http://img3m7.ddimg.cn/89/0/23845427-1_l_22.jpg,137080,99.7%,（法）罗曼罗兰 著  陈筱卿 译,2016-01-01,作家出版社,¥12.60,¥28.00,4.5折,¥1.99,http://product.dangdang.com/23845427.html
儒林外史（语文教材“名著导读”经典・九年级下。大语文理念打造：思维导图+详细注释+知识拓展+彩色图片）,http://img3m3.ddimg.cn/62/5/29177243-1_l_23.jpg,17664,100%,（清）吴敬梓,2021-01-15,浙江工商大学出版社,¥23.50,¥50.00,4.7折,,http://product.dangdang.com/29177243.html
国际大奖小说――爱德华的奇妙之旅,http://img3m4.ddimg.cn/9/13/28532304-1_l_5.jpg,75691,100%,[美] 凯特・迪卡米洛,2020-05-01,新蕾出版社,¥15.00,¥28.00,5.4折,,http://product.dangdang.com/28532304.html
格列佛游记 九年级下册推荐阅读（中小学生课外阅读指导丛书）无障碍阅读 彩插励志版,http://img3m0.ddimg.cn/86/15/29272010-1_l_15.jpg,135238,100%,（英）乔纳森 斯威夫特,2021-07-01,南方出版社,¥8.40,¥18.80,4.5折,,http://product.dangdang.com/29272010.html
国富论（上下册）（全译本、无删节本、畅读本，附有概念导图）,http://img3m4.ddimg.cn/59/30/28548194-1_l_40.jpg,37749,99.9%,（英）亚当・斯密 著，孙善春 李春长 译,2020-06-01,河南大学出版社,¥40.10,¥89.00,4.5折,,http://product.dangdang.com/28548194.html
冰心儿童文学全集全套6册 注音版小学一二三年级课外书 老师推荐适合小学生课外阅读的书籍课外读物下册冰心奖获奖作家精品书系,http://img3m0.ddimg.cn/23/26/29312240-1_l_5.jpg,16730,100%,刘北著,2021-04-01,北京教育出版社,¥30.50,¥118.80,2.6折,,http://product.dangdang.com/29312240.html
千家诗-（本书为“中国小学生基础阅读书目”选用版本，也适合国学爱好者阅读。）,http://img3m8.ddimg.cn/58/3/22456228-1_l_2.jpg,73891,99.9%,谢枋得,2011-04-01,文化艺术出版社,¥10.00,¥20.00,5.0折,,http://product.dangdang.com/22456228.html
流浪地球・珍藏版,http://img3m3.ddimg.cn/13/18/27858613-1_l_13.jpg,3007,100%,刘慈欣 郝景芳 等著，捧读文化 出品,2019-06-01,沈阳出版社,¥24.70,¥49.50,5.0折,,http://product.dangdang.com/27858613.html
中国通史（吕思勉先生写给普通读者的中国通史入门书）,http://img3m1.ddimg.cn/43/17/23655301-1_l_13.jpg,193468,99.6%,吕思勉　著,2015-01-01,民主与建设出版社,¥17.90,¥39.80,4.5折,¥0.00,http://product.dangdang.com/23655301.html
国际大奖小说・成长版――仙境之桥,http://img3m8.ddimg.cn/88/28/29139748-1_l_9.jpg,7408,100%,[美] 凯瑟琳?佩特森,2020-09-01,新蕾出版社,¥15.00,¥30.00,5.0折,,http://product.dangdang.com/29139748.html
孔子（日本文学大师井上靖毕生压轴杰作，获野间文艺奖，被誉为“历史小说明珠”）,http://img3m8.ddimg.cn/62/26/23381288-1_l_4.jpg,15649,99.7%,(日)井上靖 著，  刘慕沙 译，新经典  出品,2014-01-01,北京十月文艺出版社,¥19.20,¥32.00,6.0折,¥18.79,http://product.dangdang.com/23381288.html
鲁滨逊漂流记（专为中小学生打造！未删节精装插图版！中国社科院博导翻译！译自英国原版《鲁滨逊漂流记》！作家榜出品！）,http://img3m7.ddimg.cn/39/29/29139897-1_l_67.jpg,21349,100%,丹尼尔・笛福 著，作家榜经典名著 出品，周伟驰 译,2020-09-01,浙江文艺出版社,¥26.00,¥56.00,4.6折,,http://product.dangdang.com/29139897.html
雷雨（中国现代杰出剧作家曹禺的代表作，被翻译成各国语言的中国话剧，精装收藏版）,http://img3m2.ddimg.cn/76/8/25232602-1_l_5.jpg,86816,100%,曹禺 著，新经典 出品,2017-12-01,北京十月文艺出版社,¥18.00,¥36.00,5.0折,,http://product.dangdang.com/25232602.html
莎士比亚戏剧故事集（《语文》阅读丛书）人民文学出版社,http://img3m4.ddimg.cn/86/16/25275974-1_l_6.jpg,27623,100%,查尔斯・兰姆 玛丽・兰姆 改写,2018-05-01,人民文学出版社,¥15.00,¥30.00,5.0折,¥18.00,http://product.dangdang.com/25275974.html
宝葫芦的秘密（《语文》推荐阅读丛书）人民文学出版社,http://img3m8.ddimg.cn/82/32/25267258-1_l_7.jpg,40243,100%,张天翼,2018-04-01,人民文学出版社,¥10.80,¥23.00,4.7折,¥12.00,http://product.dangdang.com/25267258.html
梅格时空大冒险：时间的折皱・纽伯瑞金奖（儿童文学家喻户晓、不可逾越的经典！科幻冒险，打开孩子探索宇宙的大门7~14岁适读）,http://img3m0.ddimg.cn/6/1/29276880-1_l_9.jpg,7466,100%,[美] 马德琳・英格 （Madeleine L'Engle）；读客文化 出品,2021-07-30,文汇出版社,¥17.40,¥34.80,5.0折,,http://product.dangdang.com/29276880.html
敦煌奇幻旅行记（第二辑套装全3册） 随书附赠定制磁吸书签,http://img3m3.ddimg.cn/82/24/29466343-1_l_9.jpg,5389,99.9%,常怡,2022-10-11,中信出版社,¥52.50,¥105.00,5.0折,,http://product.dangdang.com/29466343.html
长青藤国际大奖小说书系：我和外公的战争,http://img3m9.ddimg.cn/35/35/26439569-1_l_4.jpg,14488,100%,罗伯特・基梅尔・史密斯     禹田文化   出品,2019-01-01,云南出版集团公司 晨光出版社,¥17.10,¥22.00,7.8折,,http://product.dangdang.com/26439569.html
孙悟空在我们村里 百年百部经典书系 国风散文集，3-4年级阅读拓展书目,http://img3m8.ddimg.cn/59/28/23954198-1_l_6.jpg,65926,100%,郭风,2016-04-01,长江少年儿童出版社,¥8.80,¥20.00,4.4折,,http://product.dangdang.com/23954198.html
水先生的奇妙之旅科学图画书系（全8册）,http://img3m5.ddimg.cn/57/30/23578095-1_l_6.jpg,75559,99.9%,奥古斯汀. 特拉尼　著,2014-10-01,海燕出版社,¥40.30,¥96.00,4.2折,,http://product.dangdang.com/23578095.html
俗世奇人（修订版）入选中小学生阅读指导目录,http://img3m8.ddimg.cn/9/17/20445588-1_l_9.jpg,235813,99.2%,冯骥才,2010-09-01,作家出版社,¥9.00,¥18.00,5.0折,¥7.20,http://product.dangdang.com/20445588.html
经典译林：傅雷家书（八年级下！收录傅雷家人书信！呈现傅雷家书通信往来全貌。傅雷家人编纂！）团购电话:4001066666转6,http://img3m3.ddimg.cn/80/14/25236863-1_l_19.jpg,491117,99.9%,傅雷 朱梅馥 傅聪著 傅敏编,2018-02-01,译林出版社,¥19.60,¥49.00,4.0折,,http://product.dangdang.com/25236863.html
亲密关系（第6版）,http://img3m8.ddimg.cn/85/21/23742958-1_l_13.jpg,114968,99.9%,罗兰・米勒 ， 新曲线 出品,2015-07-01,人民邮电出版社,¥85.80,¥138.00,6.2折,¥110.40,http://product.dangdang.com/23742958.html
森林报 春 夏 秋 冬 四年级下册推荐阅读 套装共4册（中小学生课外阅读指导丛书）彩插无障碍阅读 智慧熊图书,http://img3m8.ddimg.cn/42/29/29223258-1_l_12.jpg,4062,100%,维塔里 瓦连季诺维奇 比安基,2021-01-01,商务印书馆,¥35.20,¥79.20,4.4折,,http://product.dangdang.com/29223258.html
稻草人 快乐读书吧 三年级上册推荐阅读(中小学生课外阅读指导丛书)彩插无障碍阅读 智慧熊图书,http://img3m3.ddimg.cn/67/30/28981723-1_l_20.jpg,11028,100%,叶圣陶,2020-06-01,商务印书馆,¥7.60,¥17.80,4.3折,,http://product.dangdang.com/28981723.html
居里夫人的故事（中小学生课外阅读指导丛书）彩插无障碍阅读 智慧熊图书,http://img3m5.ddimg.cn/54/35/29327715-1_l_10.jpg,6414,100%,（英）埃列娜 杜尔利,2021-10-01,南方出版社,¥8.00,¥17.80,4.5折,,http://product.dangdang.com/29327715.html
世界100历史大人物 画给孩子的简明世界人物传记 精装版,http://img3m3.ddimg.cn/35/14/29389373-1_l_2.jpg,14019,100%,王大庆,2022-03-01,明天出版社,¥16.70,¥39.90,4.2折,,http://product.dangdang.com/29389373.html
我爱阅读桥梁书・分级阅读版（第一辑）：黄色系列（全30册，7-10岁儿童适读）,http://img3m0.ddimg.cn/75/10/26317740-1_l_89.jpg,154391,99%,克里斯蒂娜・帕吕伊,2019-02-01,长江少年儿童出版社,¥132.00,¥300.00,4.4折,,http://product.dangdang.com/26317740.html
中少阳光图书馆 婴儿认知启蒙小绘本 大大的，小小的,http://img3m3.ddimg.cn/22/26/29235613-1_l_11.jpg,30246,100%,钟��,2017-09-05,中国少年儿童出版社,¥14.00,¥32.00,4.4折,,http://product.dangdang.com/29235613.html
我所知道的野生动物,http://img3m9.ddimg.cn/60/35/25296639-1_l_4.jpg,7210,100%,苏天,2018-06-01,中国青年出版社,¥15.70,¥35.00,4.5折,,http://product.dangdang.com/25296639.html
我的第一本地理启蒙书,http://img3m8.ddimg.cn/42/6/23967348-1_l_18.jpg,967398,100%,郑利强 段虹(绘) 步印童书 出品,2016-06-01,新世界出版社,¥24.90,¥49.80,5.0折,,http://product.dangdang.com/23967348.html
古汉语常用字字典(第5版)新版商务印书馆 王力古汉语字典词典文言文工具书汉语中学生小学生教辅工具书实用工具书,http://img3m9.ddimg.cn/91/34/24008779-1_l_37.jpg,512335,99.9%,原编者  王力 岑麒祥 林焘 等，修订者  蒋绍愚 唐作藩 张万起 等,2016-04-01,商务印书馆,¥34.00,¥39.90,8.5折,,http://product.dangdang.com/24008779.html
中国记忆・传统节日图画书（全12册）,http://img3m3.ddimg.cn/29/25/23200283-1_l_6.jpg,36872,99.9%,王早早　著文，黄弛衡　绘图,2012-01-01,北京师范大学出版社,¥104.80,¥177.60,5.9折,,http://product.dangdang.com/23200283.html
中国国家地理精华 图说天下 国家地理,http://img3m7.ddimg.cn/34/7/22790527-1_l_4.jpg,57908,99.9%,<图说天下.国家地理系列>编委会,2012-06-01,北京联合出版公司,¥7.60,¥19.90,3.8折,,http://product.dangdang.com/22790527.html
致女儿书,http://img3m6.ddimg.cn/40/9/23694106-1_l_4.jpg,61832,99.9%,王朔　著，新经典 出品,2015-03-01,北京十月文艺出版社,¥24.10,¥35.00,6.9折,,http://product.dangdang.com/23694106.html
吸引力法则（稻盛和夫推荐学习的课程。掌握吸引力法则是创造梦想人生的关键！销售、谈判、职场、人际关系……成功工具书。）,http://img3m9.ddimg.cn/75/13/25278339-1_l_28.jpg,111645,100%,（美）杰克・坎菲尔德，D.D.沃特金 著   译者：张彩，双螺旋文化 出品,2018-04-01,光明日报出版社,¥14.90,¥29.80,5.0折,,http://product.dangdang.com/25278339.html
帽子的秘密 百年百部经典书系 柯岩儿童诗集，本书所收篇目，曾获全国少年儿童文艺创作一等奖,http://img3m2.ddimg.cn/53/22/23954192-1_l_5.jpg,80137,100%,柯岩,2016-04-01,长江少年儿童出版社,¥11.90,¥26.00,4.6折,,http://product.dangdang.com/23954192.html
草房子（当当网定制版）,http://img3m2.ddimg.cn/32/4/23662022-1_l_31.jpg,412656,99.4%,曹文轩,2015-03-01,天天出版社有限责任公司,¥11.00,¥25.00,4.4折,,http://product.dangdang.com/23662022.html
小马过河 彩图注音版 儿童文学 快乐读书吧 一二三年级课外阅读书世界经典文学少儿名著童话故事书 大语文系列 小学语文课外阅读经典丛书,http://img3m3.ddimg.cn/1/15/29300833-1_l_8.jpg,5081,100%,魏红霞/主编,2021-08-01,北京教育出版社,¥7.50,¥25.80,2.9折,,http://product.dangdang.com/29300833.html
傅雷家书 八年级下册书(新版）小学生课外阅读书籍三四五六年级世界经典文学名著青少年儿童读物故事书 名师精读版,http://img3m7.ddimg.cn/80/31/29179637-1_l_18.jpg,21033,99.9%,龚勋　主编,2020-11-01,文化发展出版社,¥8.40,¥19.80,4.2折,,http://product.dangdang.com/29179637.html
快乐读书吧四年级下册指定阅读：十万个为什么+看看我们的地球+细菌世界历险记：灰尘的旅行+爷爷的爷爷哪里来：人类起源的演化过程（套装共4册）,http://img3m6.ddimg.cn/88/7/29151826-1_l_14.jpg,3500,100%,(苏) 米・伊林等 万亭文化 出品,2020-08-01,吉林出版集团股份有限公司,¥53.60,¥107.20,5.0折,,http://product.dangdang.com/29151826.html
米小圈上学记四年级（套装共4册）,http://img3m6.ddimg.cn/90/20/25261326-1_l_19.jpg,339410,100%,北猫,2018-04-01,四川少儿出版社,¥50.00,¥100.00,5.0折,,http://product.dangdang.com/25261326.html
我的第一本物理启蒙书 升级篇,http://img3m5.ddimg.cn/49/29/29305435-1_l_1.jpg,9918,100%,冰河,2021-08-01,中国和平出版社,¥34.80,¥100.00,3.5折,,http://product.dangdang.com/29305435.html
